City_ID,City,Country,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Current Description
0,Faya,SA,18.39,42.45,68.0,72,75,4.79,broken clouds
1,Sterling,US,39.01,-77.43,91.99,58,75,10.29,broken clouds
2,New Norfolk,AU,-42.78,147.06,44.01,85,84,1.01,light rain
3,Cap Malheureux,MU,-19.98,57.61,68.0,76,24,1.01,few clouds
4,Nyurba,RU,63.28,118.33,54.12,78,0,3.42,clear sky
5,Rikitea,PF,-23.12,-134.97,72.75,78,54,10.42,broken clouds
6,Castro,BR,-24.79,-50.01,64.2,61,0,4.5,clear sky
7,Tuatapere,NZ,-46.13,167.68,43.02,89,58,3.96,broken clouds
8,Kundiawa,PG,-6.02,144.97,59.94,78,73,1.54,broken clouds
9,Victoria,HK,22.29,114.16,78.01,94,99,5.01,light rain
10,Mar Del Plata,AR,-38.0,-57.56,59.0,58,95,10.29,overcast clouds
11,Aden,YE,12.78,45.04,89.06,71,0,13.0,clear sky
12,Bengkulu,ID,-3.8,102.27,75.29,92,57,4.99,light rain
13,Tezu,IN,27.92,96.17,79.79,74,11,2.33,few clouds
14,Carrboro,US,35.91,-79.08,93.99,66,7,10.83,clear sky
15,Igarka,RU,67.47,86.58,55.29,93,100,4.21,overcast clouds
16,Busselton,AU,-33.65,115.33,45.0,98,31,6.69,scattered clouds
17,Port Alfred,ZA,-33.59,26.89,72.9,22,0,10.6,clear sky
18,Cockburn Town,TC,21.46,-71.14,86.0,70,40,13.87,scattered clouds
19,Severo-Kurilsk,RU,50.68,156.12,51.8,86,100,11.34,overcast clouds
20,Vila Velha,BR,-20.33,-40.29,75.0,60,20,12.75,few clouds
21,Cape Town,ZA,-33.93,18.42,60.01,87,0,10.29,clear sky
22,Carnarvon,AU,-24.87,113.63,57.2,82,7,6.93,clear sky
23,Aklavik,CA,68.22,-135.01,53.6,87,90,3.36,overcast clouds
24,Maniitsoq,GL,65.42,-52.9,48.13,86,99,10.71,overcast clouds
25,Sangar,RU,63.92,127.47,52.12,72,0,3.94,clear sky
26,Jamestown,US,42.1,-79.24,73.99,94,90,11.41,light rain
27,Hobart,AU,-42.88,147.33,48.2,61,76,13.87,light rain
28,Roma,US,43.21,-75.46,87.8,52,75,16.11,broken clouds
29,Taloqan,AF,36.74,69.53,74.25,33,0,1.54,clear sky
30,Druzhba,UA,52.04,33.95,54.09,94,0,5.3,clear sky
31,Port Elizabeth,ZA,-33.92,25.57,69.8,43,0,17.22,clear sky
32,Sitka,US,57.05,-135.33,57.2,87,75,5.82,broken clouds
33,Vallenar,CL,-28.57,-70.76,81.39,17,10,5.46,clear sky
34,Kavieng,PG,-2.57,150.8,81.59,78,22,5.48,few clouds
35,Kimbe,PG,-5.55,150.14,76.95,83,5,5.35,clear sky
36,Burnie,AU,-41.07,145.92,46.0,89,100,5.01,light rain
37,Kalabo,ZM,-14.97,22.68,58.55,36,0,6.91,clear sky
38,Lebu,CL,-37.62,-73.65,55.4,85,38,8.32,scattered clouds
39,Lashio,MM,22.93,97.75,71.24,100,100,1.74,light rain
40,Saldanha,ZA,-33.01,17.94,55.4,71,0,2.24,clear sky
41,Kruisfontein,ZA,-34.0,24.73,62.01,49,0,6.55,clear sky
42,Yulara,AU,-25.24,130.99,41.0,25,0,4.7,clear sky
43,Lander,US,42.83,-108.73,86.0,21,1,3.89,clear sky
44,Muroto,JP,33.28,134.15,79.79,79,100,6.42,overcast clouds
45,Albany,US,42.6,-73.97,86.0,63,75,12.08,light rain
46,Thompson,CA,55.74,-97.86,75.2,38,20,5.82,few clouds
47,Xingyi,CN,24.19,102.82,61.45,98,87,4.03,overcast clouds
48,Suzaka,JP,36.65,138.32,73.0,95,37,2.24,scattered clouds
49,San Jose,US,37.34,-121.89,86.0,41,5,6.93,clear sky
50,Salalah,OM,17.02,54.09,82.4,83,40,3.36,scattered clouds
51,Sao Filipe,CV,14.9,-24.5,78.67,87,87,6.53,overcast clouds
52,Gamba,GA,-2.65,10.0,72.99,75,94,6.17,overcast clouds
53,Mahebourg,MU,-20.41,57.7,69.8,73,75,12.75,broken clouds
54,Havre-Saint-Pierre,CA,50.23,-63.6,73.4,64,1,11.41,clear sky
55,Dhidhdhoo,MV,6.88,73.1,82.51,78,100,18.68,moderate rain
56,Puerto Ayora,EC,-0.74,-90.35,75.2,73,75,6.93,broken clouds
57,Goedereede,NL,51.82,3.98,66.99,73,62,6.29,broken clouds
58,Opuwo,NA,-18.06,13.84,62.8,30,0,8.66,clear sky
59,Mataura,NZ,-46.19,168.86,44.58,95,38,2.08,scattered clouds
60,Caravelas,BR,-17.71,-39.25,72.01,71,20,11.52,few clouds
61,Touros,BR,-5.2,-35.46,82.4,69,40,12.75,scattered clouds
62,Jacareacanga,BR,-6.22,-57.75,96.39,21,0,2.57,clear sky
63,Cherskiy,RU,68.75,161.3,51.17,68,57,2.1,broken clouds
64,Torbay,CA,47.67,-52.73,63.0,82,75,13.87,broken clouds
65,Kargasok,RU,59.06,80.86,60.04,87,97,2.86,overcast clouds
66,Saint George,US,37.1,-113.58,106.0,9,1,4.7,clear sky
67,Laguna,US,38.42,-121.42,87.01,41,64,3.0,broken clouds
68,Bredasdorp,ZA,-34.53,20.04,51.8,93,0,4.7,clear sky
69,Grindu,RO,44.77,26.92,69.8,40,20,4.7,few clouds
70,La Grande,US,45.32,-118.09,86.0,26,1,8.05,clear sky
71,Hamilton,US,39.18,-84.53,81.0,57,40,12.75,scattered clouds
72,Mount Isa,AU,-20.73,139.5,50.0,66,0,3.36,clear sky
73,Bambous Virieux,MU,-20.34,57.76,69.8,73,75,12.75,broken clouds
74,Georgetown,MY,5.41,100.34,84.2,74,20,8.05,few clouds
75,Bhuj,IN,23.27,69.67,86.23,73,76,12.41,broken clouds
76,Ortona,IT,42.35,14.4,73.4,88,38,1.12,scattered clouds
77,East London,ZA,-33.02,27.91,74.88,20,0,8.93,clear sky
78,Aquiraz,BR,-3.9,-38.39,84.2,62,20,14.99,few clouds
79,Bonfim,BR,3.08,-59.95,85.53,64,1,8.28,light rain
80,Lundazi,ZM,-12.29,33.18,59.56,64,0,8.16,clear sky
81,Portland,US,45.52,-122.68,82.0,53,40,4.7,scattered clouds
82,Maragogi,BR,-9.01,-35.22,75.06,79,85,13.27,overcast clouds
83,Comodoro Rivadavia,AR,-45.87,-67.5,55.4,47,56,9.17,broken clouds
